MANUFACTURER_PART_NUMBER,Mfg Name,VID,Vendor Part Number,Description,Qty-1,Qty-5,Qty-25,Part References,Value
87224-3,TE Connectivity AMP Connectors,DK,A26545-ND,CONN HEADER VERT 3POS 2.54MM (jumpers),1,5,25,"J4",
650473-5,TE Connectivity AMP Connectors,DK,A1254-ND,CONN DIN PLUG 96POS PCB RA GOLD,1,5,25,"J5",
742792514,Wurth,DK,732-1643-1-ND,FERRITE BEAD 600 OHM 1812 1LN,2,10,50,"L1, L2",
31-5431,Amphenol RF,DK,ARF1065-ND,CONN BNC JACK R/A 50 OHM PCB,4,20,100,"X1, X2, X3, X4",1-227161-0
RT0603BRD071KL,YAGEO,DK,YAG1237CT-ND,RES SMD 1K OHM 0.1% 1/10W 0603,18,90,450,"R3, R4, R9, R10, R13, R14, R19, R20, R21, R22, R23, R24, R25, R26, R35, R36, R37, R38",1k
1206YC105KAT2A,AVX,DK,478-2576-1-ND,CAP CER 1UF 16V X7R 1206,4,20,100,"C3, C4, C5, C6",1uF
12065A332JAT2A,AVX,DK,478-1498-1-ND,CAP CER 3300PF 50V C0G/NP0 1206,2,10,50,"C38, C41",3.3nF
06036D475KAT4A,AVX,DK,478-10813-1-ND,CAP CER 4.7UF 6.3V X5R 0603,2,10,50,"C29, C34",4.7uF
RT0603DRD074K02L,YAGEO,DK,311-4.02KDCT-ND,RES SMD 4.02KOHM 0.5% 1/10W 0603,2,10,50,"R15, R16",4.02k
1206AC682KAZ1A,AVX,DK,478-5354-1-ND,CAP CER 6800PF 1KV X7R 1206,4,20,100,"C37, C39, C40, C42",6.8nF
RT0603BRD0710RL,YAGEO,DK,YAG3350CT-ND,RES SMD 10 OHM 0.1% 1/10W 0603,2,10,50,"R11, R12",10
RT0603DRD0710KL,YAGEO,DK,311-10KDCT-ND,RES SMD 10K OHM 0.5% 1/10W 0603 ,7,35,175,"R1, R2, R5, R6, R7, R8, R41",10k
0603YC103KAT4A,AVX,DK,478-12747-1-ND,CAP CER 10000PF 16V X7R 0603 ,7,35,175,"C27, C32, C48, C63, C64, C65, C78",10nF
08053D106MAT2A,AVX,DK,478-10492-1-ND,CAP CER 10UF 25V X5R 0805,2,10,50,"C18, C24",10uF
12063D106KAT2A,AVX,DK,478-5331-1-ND,CAP CER 10UF 25V X5R 1206,20,100,500,"C47, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C66, C67, C68, C76, C77, C79",10uF
GRM188R61E106KA73J,murata,DK,490-GRM188R61E106KA73JCT-ND,CAP CER 10UF 25V X5R 0603 ,4,20,100,"C16, C22, C35, C36",10uF
RT0603DRD0733RL,YAGEO,DK,13-RT0603DRD0733RLCT-ND,RES SMD 33 OHM 0.5% 1/10W 0603,2,10,50,"R39, R40",33
12065A330KAT2A,AVX,DK,478-10881-1-ND,CAP CER 33PF 50V C0G/NP0 1206,2,10,50,"C12, C13",33pF
RT0603DRE0735R7L,YAGEO,DK,311-2547-1-ND,RES SMD 35.7 OHM 0.5% 1/10W 0603,4,20,100,"R31, R32, R33, R34",35.7
GRM32ER71A476KE15L,murata,DK,490-5312-1-ND,CAP CER 47UF 10V X7R 1210,2,10,50,"C43, C44",47uF
RT0603BRD0788K7L,YAGEO,DK,YAG1742CT-ND,RES SMD 88.7KOHM 0.1% 1/10W 0603,1,5,25,"R42",88.7K
0603YC104K4T4A,AVX,DK,478-9382-1-ND,CAP CER 0.1UF 16V X7R 0603,23,115,575,"C11, C14, C15, C17, C19, C20, C21, C23, C25, C26, C28, C33, C45, C46, C49, C69, C70, C71, C72, C73, C74, C75, C80",100nF
06035A101JAT2A,AVX,DK,478-1175-1-ND,CAP CER 100PF 100V C0G/NP0 0603,2,10,50,"C1, C2",100pF
12065A101KAT2A,AVX,DK,478-10877-1-ND,CAP CER 100PF 50V C0G/NP0 1206,2,10,50,"C9, C10",100pF
RT0603BRD07332RL,YAGEO,DK,YAG1639CT-ND,RES SMD 332 OHM 0.1% 1/10W 0603,4,20,100,"R27, R28, R29, R30",333
878311420,Molex,DK,WM17469-ND,CONN HEADER VERT 14POS 2MM,3,15,75,"J1, J2, J3",87831-1420
LT1012S8#PBF,Analog Device,DK,LT1012S8#PBF-ND,IC OPAMP GP 1 CIRCUIT 8SO,2,10,50,"U2, U3",LT1012S8PBF
LT1360CS8#TRPBF,Analog Device,DK,LT1360CS8#TRPBFCT-ND,IC OPAMP VFB 1 CIRCUIT 8SO,2,10,50,"U8, U9",LT1360CS8TRPBFSO-8_S_LIT-M
LT1761ES5-2.5#TRMPBF,Analog Device,DK,LT1761ES5-2.5#TRMPBFCT-ND,IC REG LIN 2.5V 100MA TSOT23-5,1,5,25,"U22",LT1761ES5-2.5_TRMPBFSOT-5_S_LIT-M
LT1761ES5-3.3#TRPBF,Analog Device,DK,LT1761ES5-3.3#TRPBFCT-ND,IC REG LIN 3.3V 100MA TSOT23-5,1,5,25,"U16",LT1761ES5-3.3PBF
LT1761ES5-5#TRMPBF,Analog Device,DK,LT1761ES5-5#TRMPBFCT-ND,IC REG LINEAR 5V 100MA TSOT23-5,1,5,25,"U18",LT1761ES5-5TRMPBFSOT-5_S_LIT-M
LT1761ES5-BYP#TRMPBF,Analog Device,DK,LT1761ES5-BYP#TRMPBFCT-ND,IC REG LIN POS ADJ 100MA TSOT23,1,5,25,"U20",LT1761ES5-BYPPBFSOT-5_S_LIT-M
LT1964ES5-5#TRMPBF,Analog Device,DK,LT1964ES5-5#TRMPBFCT-ND,IC REG LINEAR -5V 200MA TSOT23-5,1,5,25,"U19",LT1964ES5-5TRMPBF
LTC2054CS5#TRPBF,Analog Device,DK,LTC2054CS5#TRPBFCT-ND,IC OPAMP ZER-DRIFT 1CIR TSOT23-5,2,10,50,"U4, U5",LTC2054CS5
LTC2380CMS-24#PBF,Analog Device,DK,LTC2380CMS-24#PBF-ND,IC ADC 24BIT SAR 16MSOP,2,10,50,"U14, U15",LTC2380CMS-16PBFMSOP-16_MS_LIT-M
LTC2758BILX#PBF,Analog Device,DK,LTC2758BILX#PBF-ND,IC DAC 18BIT A-OUT 48LQFP,1,5,25,"U1",LTC2758ACLXPBF
LTC6244HVIDD#PBF,Analog Device,DK,LTC6244HVIDD#PBF-ND,IC OPAMP GP 2 CIRCUIT 8DFN,1,5,25,"U6",LTC6244HVIDDPBFDFN-8_DD_LIT-M
LTC6362CMS8#PBF,Analog Device,DK,LTC6362CMS8#PBF,IC OPAMP DIFF 1 CIRCUIT 8MSOP,2,10,50,"U12, U13",LTC6362CMS8PBFMSOP-8_MS_LIT-M
LTC6655CHMS8-5#PBF,Analog Device,DK,LTC6655CHMS8-5#PBF-ND,IC VREF SERIES 0.05% 8MSOP,2,10,50,"U17, U21",LTC6655CHMS8-5PBFMSOP-8_MS_LIT-M
MAX14431CAEE+,Maxim,DK,175-MAX14431CAEE+-ND,4-CHANNEL, LOW POWER, 5KV DIGITA,3,15,75,"U7, U10, U11",MAX14431CAEE+TSSOP16
*** ERROR - PART '*' NOT FOUND FOR: "C30, C31"
*** ERROR - PART '*' NOT FOUND FOR: "R17, R18"
*** ERROR - PART '*' NOT FOUND FOR: "C7, C8"
